wl,n
0.2500,2.0803044182369
0.2630,2.0271744581354
0.2767,1.984659056014
0.2911,1.9500895751993
0.3063,1.921442035403
0.3222,1.8976189984837
0.3390,1.8774002096741
0.3566,1.860241610754
0.3752,1.8454461194368
0.3947,1.8327134075919
0.4153,1.8216138123297
0.4369,1.8119664988198
0.4597,1.8034913859982
0.4836,1.7960715386354
0.5088,1.7895164922257
0.5353,1.7837261117122
0.5631,1.7786098175401
0.5924,1.7740579536442
0.6233,1.7699994775469
0.6557,1.7663952687813
0.6899,1.7631680461798
0.7258,1.7602905913854
0.7636,1.7577134899302
0.8033,1.7554083069968
0.8451,1.753338714921
0.8891,1.7514793193028
0.9354,1.749807702646
0.9841,1.7483039757616
1.035,1.7469577622596
1.089,1.7457332977491
1.146,1.7446249140684
1.206,1.743623403249
1.268,1.7427326756968
1.334,1.7419149670835
1.404,1.7411668576505
1.477,1.7404924758961
1.554,1.7398758750075
1.635,1.7393121995668
1.720,1.7387964419193
1.809,1.7383236203188
1.904,1.737880129007
2.003,1.737472122004
2.107,1.737091323783
2.217,1.7367312627892
2.332,1.7363922928442
2.454,1.7360658959487
2.581,1.7357547552882
2.716,1.7354490203968
2.857,1.7351509306447
3.006,1.7348538073911
3.162,1.7345573115787
3.327,1.7342553078143
3.500,1.7339472905376
3.682,1.7336290163705
3.874,1.7332962461652
4.076,1.7329463621416
4.288,1.7325766046849
4.511,1.7321823169239
4.746,1.7317585878729
4.993,1.731302041613
5.253,1.7308071898032
5.527,1.7302681067697
5.814,1.7296825125786
6.117,1.7290395646119
6.435,1.7283361411197
6.770,1.727562112049
7.123,1.7267086518118
7.494,1.7257686668816
7.884,1.7247319025663
8.294,1.7235871041754
8.726,1.7223189006296
9.180,1.7209164008299
9.658,1.7193612989258
10.16,1.7176401075134
10.69,1.715723531884
11.25,1.713585794395
11.83,1.7112476496051
12.45,1.7086062460348
13.10,1.70567657798
13.78,1.7024324352753
14.50,1.698793406478
15.25,1.6947744059193
16.04,1.6902827192435
16.88,1.6852079470441
17.76,1.6795511140316
18.68,1.6732521893108
19.66,1.6660935194679
20.68,1.6581306132932
21.76,1.6491041037481
22.89,1.6389713610058
24.08,1.6274971331217
25.33,1.6145017773285
26.65,1.5996579260704
28.04,1.5826865457016
29.50,1.5632522676519
31.04,1.5407947208501
32.65,1.5149329771486
34.35,1.4846560172687
36.14,1.4490183272377
38.02,1.4067717776511
40.00,1.3559472223719
